scenario,period,metric,category,value,unit,base_case_value,variance_vs_base,variance_vs_base_percent,scenario_logic,main_driver,risk_level,interpretation,source_or_basis,validation_status,notes
Base,2026E,Operating income,Profitability,3746.6,EUR million,3746.6,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Operating income: 3746.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Operating income,Profitability,3842.7,EUR million,3746.6,96.1,2.565,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for Operating income. Scenario value: 3842.700 EUR million; Base case: 3746.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Operating income,Profitability,3645.9,EUR million,3746.6,-100.7,-2.688,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Operating income. Scenario value: 3645.900 EUR million; Base case: 3746.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Operating costs,Efficiency,1457.6,EUR million,1457.6,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Operating costs: 1457.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Operating costs,Efficiency,1450.5,EUR million,1457.6,-7.1,-0.487,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is below the Base case for Operating costs. Scenario value: 1450.500 EUR million; Base case: 1457.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Operating costs,Efficiency,1471.7,EUR million,1457.6,14.1,0.967,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is above the Base case for Operating costs. Scenario value: 1471.700 EUR million; Base case: 1457.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Pre-provision operating profit,Profitability,2289.0,EUR million,2289.0,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Pre-provision operating profit: 2289.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Pre-provision operating profit,Profitability,2392.2,EUR million,2289.0,103.2,4.509,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for Pre-provision operating profit. Scenario value: 2392.200 EUR million; Base case: 2289.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Pre-provision operating profit,Profitability,2174.2,EUR million,2289.0,-114.8,-5.015,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Pre-provision operating profit. Scenario value: 2174.200 EUR million; Base case: 2289.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Impairments and provisions,Asset Quality,281.1,EUR million,281.1,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Impairments and provisions: 281.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Impairments and provisions,Asset Quality,220.8,EUR million,281.1,-60.3,-21.451,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is below the Base case for Impairments and provisions. Scenario value: 220.800 EUR million; Base case: 281.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
