item,category,period,value,unit,source_document,source_type,source_section_or_page,reported_or_calculated,calculation_method,validation_status,notes
Net interest income,Income statement,2022A,2149.8,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Results,Reported,,Reviewed,Reported as margem financeira.
Net interest income,Income Statement,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Net interest income,Income Statement,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Net interest income,Income Statement,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Fees and commissions,Income Statement,2022A,,EUR million,Millennium bcp Annual Report 2022,Annual Report,,Reported,,Pending,To be extracted from official annual report
Fees and commissions,Income Statement,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Fees and commissions,Income Statement,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Fees and commissions,Income Statement,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Operating income,Income statement,2022A,2867.5,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Results,Reported,,Reviewed,Reported as produto banc?rio.
Operating income,Income Statement,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Operating income,Income Statement,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Operating income,Income Statement,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Operating costs,Income statement,2022A,1073.0,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Results,Reported,,Reviewed,Reported as custos operacionais.
Operating costs,Income Statement,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Operating costs,Income Statement,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Operating costs,Income Statement,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Impairments and provisions,Income statement,2022A,1056.2,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Results,Calculated,Credit impairment 300.6 + other impairments and provisions 755.6,Needs Review,Needs consistency review against later-year definitions.
Impairments and provisions,Income Statement,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Impairments and provisions,Income Statement,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Impairments and provisions,Income Statement,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Net income,Income statement,2022A,207.5,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Results,Reported,,Reviewed,Reported as resultado l?quido.
Net income,Bottom Line,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Net income,Bottom Line,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Net income,Bottom Line,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Loans to customers,Balance Sheet,2022A,,EUR million,Millennium bcp Annual Report 2022,Annual Report,,Reported,,Pending,To be extracted from official annual report
