scenario,line_item,period,value,unit,calculation_method,source_or_basis,validation_status,notes
Base,Net interest income,2025A,2898.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Other operating income,2025A,917.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Operating income,2025A,3815.2,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Operating costs,2025A,1415.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Pre-provision operating profit,2025A,2400.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Customer loans,2025A,61240.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Customer deposits,2025A,111782.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Total assets,2025A,109333.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Equity,2025A,9061.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Impairments and provisions,2025A,199.5,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Net income,2025A,1018.6,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Base,Net interest income,2026E,2811.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Other operating income,2026E,935.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Operating income,2026E,3746.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Operating costs,2026E,1457.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Pre-provision operating profit,2026E,2289.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Customer loans,2026E,62464.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Customer deposits,2026E,114017.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Total assets,2026E,111519.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Equity,2026E,9525.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Impairments and provisions,2026E,281.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Net income,2026E,929.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,CET1 ratio assumption,2026E,16.0,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Base,Net interest income,2027E,2754.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Other operating income,2027E,954.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Operating income,2027E,3709.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Operating costs,2027E,1494.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Pre-provision operating profit,2027E,2215.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Customer loans,2027E,64026.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Customer deposits,2027E,116298.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Total assets,2027E,114028.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Equity,2027E,9964.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Impairments and provisions,2027E,320.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Net income,2027E,877.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,CET1 ratio assumption,2027E,16.0,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Base,Net interest income,2028E,2754.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Other operating income,2028E,978.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Operating income,2028E,3732.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Operating costs,2028E,1531.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Pre-provision operating profit,2028E,2201.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Customer loans,2028E,65947.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Customer deposits,2028E,119205.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Total assets,2028E,117164.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Equity,2028E,10397.5,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Impairments and provisions,2028E,329.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,Net income,2028E,866.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Base,CET1 ratio assumption,2028E,16.0,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Optimistic,Net interest income,2025A,2898.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Other operating income,2025A,917.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Operating income,2025A,3815.2,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Operating costs,2025A,1415.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Pre-provision operating profit,2025A,2400.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Customer loans,2025A,61240.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Customer deposits,2025A,111782.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Total assets,2025A,109333.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Equity,2025A,9061.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Impairments and provisions,2025A,199.5,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Net income,2025A,1018.6,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Optimistic,Net interest income,2026E,2898.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Other operating income,2026E,944.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Operating income,2026E,3842.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Operating costs,2026E,1450.5,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Pre-provision operating profit,2026E,2392.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Customer loans,2026E,63077.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Customer deposits,2026E,115135.5,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Total assets,2026E,112613.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Equity,2026E,9563.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Impairments and provisions,2026E,220.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Net income,2026E,1005.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,CET1 ratio assumption,2026E,16.3,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Optimistic,Net interest income,2027E,2927.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Other operating income,2027E,977.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Operating income,2027E,3904.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Operating costs,2027E,1483.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
