source_name,year,source_type,language,url,intended_use,validation_status,notes
Millennium bcp Annual Report 2025,2025,Annual Report,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Documents/RelatorioContas/2025/RCBCP2025PT.pdf,Historical financials ratios capital asset quality governance,Pending,Primary source for 2025A
Millennium bcp Annual Report 2024,2024,Annual Report,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Documents/RelatorioContas/2024/RABCP2024Vol1PT.pdf,Historical financials ratios capital asset quality governance,Pending,Primary source for 2024A
Millennium bcp Annual Report 2023,2023,Annual Report,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Documents/RelatorioContas/2023/RCBCP2023PT_27032024.pdf,Historical financials ratios capital asset quality governance,Pending,Primary source for 2023A
Millennium bcp Annual Report 2022,2022,Annual Report,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Documents/RelatorioContas/2022/Relatorio-Grupo-BCP-2022.pdf,Historical financials ratios capital asset quality governance,Pending,Primary source for 2022A
Millennium bcp Investor Relations Annual Reports Page,Multiple,Investor Relations Page,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Pages/RelatorioContas.aspx,Annual reports archive and source cross-checking,Pending,Use to verify official annual report links
Millennium bcp Quarterly Results Page,Multiple,Investor Relations Page,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Pages/ResultadosTrimestrais.aspx,Results presentations press releases financial statements and fact sheets,Pending,Useful for cross-checking annual and quarterly figures
Millennium bcp Investor Events Page,Multiple,Investor Relations Page,Portuguese,https://ind.millenniumbcp.pt/pt/Institucional/investidores/Pages/Eventos.aspx,Financial calendar and investor events,Pending,Useful for publication date validation
Euronext Millennium bcp Page,Multiple,Market Data,English,https://live.euronext.com/en/product/equities/PTBCP0AM0015-XLIS,Share price market data and listed company information,Pending,Use for dated market data
CMVM Information System,Multiple,Regulatory Source,Portuguese,https://www.cmvm.pt,Regulatory disclosures and official market communications,Pending,Use for regulatory cross-checking
Banco de Portugal Statistics,Multiple,Central Bank Source,Portuguese,https://www.bportugal.pt,Portuguese banking sector context and macro-financial data,Pending,Use for sector context only
European Central Bank,Multiple,Central Bank Source,English,https://www.ecb.europa.eu,Euro area banking macro context and interest rate environment,Pending,Use for macro context only
European Banking Authority,Multiple,Regulatory Source,English,https://www.eba.europa.eu,European banking regulatory context and sector indicators,Pending,Use for regulatory context only
