scenario,assumption_category,assumption,2026E,2027E,2028E,unit,rationale,source_or_basis,validation_status,notes
Base,Revenue,Net interest income growth,,,,%,Moderate normalisation after the 2025A period; assumes no major shock in the interest rate environment,Historical trend and public financial statements,To Review,Educational scenario-based assumption only
Base,Revenue,Fees and commissions growth,,,,%,Assumes stable recurring fee income with moderate business activity,Historical trend and public financial statements,To Review,Educational scenario-based assumption only
Base,Costs,Operating costs growth,,,,%,Assumes controlled cost growth with inflation and operational discipline,Historical trend and public financial statements,To Review,Educational scenario-based assumption only
Base,Risk,Cost of risk,,,,bps,Assumes credit risk remains controlled but not at exceptionally low levels,Historical trend and public financial statements,To Review,Educational scenario-based assumption only
Base,Balance Sheet,Customer loans growth,,,,%,Assumes moderate loan book growth,Historical trend and public financial statements,To Review,Educational scenario-based assumption only
Base,Balance Sheet,Customer deposits growth,,,,%,Assumes stable customer funding base,Historical trend and public financial statements,To Review,Educational scenario-based assumption only
Base,Capital,CET1 ratio assumption,,,,%,Assumes capital remains broadly stable under the base case,Historical capital ratios and public disclosures,To Review,Educational scenario-based assumption only
Optimistic,Revenue,Net interest income growth,,,,%,Assumes stronger revenue resilience or better-than-expected margin development,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Optimistic,Revenue,Fees and commissions growth,,,,%,Assumes stronger business activity and recurring fee generation,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Optimistic,Costs,Operating costs growth,,,,%,Assumes cost discipline offsets inflationary pressure,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Optimistic,Risk,Cost of risk,,,,bps,Assumes benign credit conditions and limited deterioration in asset quality,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Optimistic,Balance Sheet,Customer loans growth,,,,%,Assumes healthier lending growth under supportive economic conditions,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Optimistic,Balance Sheet,Customer deposits growth,,,,%,Assumes stable or stronger customer funding growth,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Optimistic,Capital,CET1 ratio assumption,,,,%,Assumes capital remains resilient despite moderate growth,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Revenue,Net interest income growth,,,,%,Assumes margin pressure or weaker revenue development,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Revenue,Fees and commissions growth,,,,%,Assumes weaker business activity and lower fee growth,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Costs,Operating costs growth,,,,%,Assumes higher cost pressure and weaker operating leverage,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Risk,Cost of risk,,,,bps,Assumes higher credit risk costs and less favourable asset quality conditions,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Balance Sheet,Customer loans growth,,,,%,Assumes slower lending growth under weaker conditions,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Balance Sheet,Customer deposits growth,,,,%,Assumes more moderate funding growth,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
Conservative,Capital,CET1 ratio assumption,,,,%,Assumes some pressure on capital generation under a more cautious scenario,Scenario logic based on historical trend,To Review,Educational scenario-based assumption only
